year,season,sown_000_acres,harvested_000_acres,gdp_billion_usd,inflation_pct,rainfall_mm,temperature_c,production_000_mt,season_binary,rainfall_mm_scaled,temperature_c_scaled,gdp_billion_usd_scaled,inflation_pct_scaled,sown_000_acres_scaled,harvested_000_acres_scaled,target_yield_production
1950,Maha,710.0,678.0,0.857,2.27,1540,26.17,359,1,0.7364344390572368,-0.6673746388871821,-0.6605093206095085,-1.108077164190465,-0.6911590659356546,-0.658731123771102,359
1950,Yala,389.0,362.0,0.869,6.95,768,28.895000000000003,167,0,-0.5201119089926419,1.9809129342063028,-0.6597765731477647,-0.21371040032338115,-1.5926592620346414,-1.5880783856260448,167
1951,Maha,738.0,700.0,0.82,2.92,1347,27.49,385,1,0.42229785204476716,0.6154655800058049,-0.6627686252832183,-0.9838595580978144,-0.6125235348117554,-0.594029732122973,385
1951,Yala,402.0,386.0,0.692,3.85,749,28.43,176,0,-0.5510372724809162,1.5290033116417234,-0.6705845982084851,-0.8061328293806376,-1.5561499082985455,-1.5174950492826313,176
1952,Maha,655.0,586.0,0.845,4.86,1234,26.69,276,1,0.238373321825031,-0.16201334053539845,-0.6612420680712522,-0.6131177799135958,-0.8456217163575993,-0.9293005797541866,276
1952,Yala,424.0,402.0,1.176,8.39,533,28.895000000000003,219,0,-0.9026098258212968,1.9809129342063028,-0.6410304505848202,0.061479373174183144,-1.4943648481297676,-1.4704394917203558,219
1953,Maha,770.0,743.0,0.865,-0.15,1058,24.775,403,1,-0.048093203118982825,-2.023103506580913,-0.6600208223016792,-1.5705488668738716,-0.522654356384442,-0.4675679211743574,403
1953,Yala,394.0,366.0,0.659,3.11,624,28.895000000000003,182,0,-0.7544936112195624,1.9809129342063028,-0.6725996537282805,-0.947549796316886,-1.5786172029053738,-1.5763144962354758,182
1954,Maha,825.0,793.0,0.493,3.68,1349,26.56,454,1,0.4255531534645855,-0.2883536651233469,-0.6827359936157358,-0.8386205109741001,-0.36819170596249723,-0.3205193037922462,454
1954,Yala,483.0,458.0,0.839,4.59,785,28.895000000000003,247,0,-0.4924418469241861,1.9809129342063028,-0.6616084418021241,-0.6647158624443893,-1.3286685504044085,-1.3057450402523914,247
1955,Maha,823.0,724.0,1.141,6.66,1371,25.71,405,1,0.4613614690825872,-1.1144250181983764,-0.6431676306815728,-0.2691305630416406,-0.3738085296142043,-0.5234463957795596,405
