year,season,sown_000_acres,harvested_000_acres,gdp_billion_usd,inflation_pct,rainfall_mm,temperature_c,production_000_mt,season_binary,rainfall_mm_scaled,temperature_c_scaled,gdp_billion_usd_scaled,inflation_pct_scaled,sown_000_acres_scaled,harvested_000_acres_scaled,target_yield_production,yield_lag1,yield_lag2,rainfall_roll3,temp_roll3,rain_x_temp,inf_x_gdp,drought_flag,harvest_efficiency
1950,Maha,710.0,678.0,0.857,2.27,1540,26.17,359,1,0.7364344390572368,-0.6673746388871821,-0.6605093206095085,-1.108077164190465,-0.6911590659356546,-0.658731123771102,359,359.0,359.0,1540.0,26.17,-0.4914776678299079,0.7318952949023548,0,0.9549295774647887
1950,Yala,389.0,362.0,0.869,6.95,768,28.895000000000003,167,0,-0.5201119089926419,1.9809129342063028,-0.6597765731477647,-0.2137104003233811,-1.5926592620346414,-1.5880783856260448,167,359.0,359.0,1154.0,27.532500000000002,-1.030296407758256,0.14100111557139733,0,0.9305912596401028
1951,Maha,738.0,700.0,0.82,2.92,1347,27.49,385,1,0.4222978520447671,0.6154655800058049,-0.6627686252832183,-0.9838595580978144,-0.6125235348117554,-0.594029732122973,385,167.0,359.0,1218.3333333333333,27.518333333333334,0.25990979244393814,0.6520712467922432,1,0.948509485094851
1951,Yala,402.0,386.0,0.692,3.85,749,28.43,176,0,-0.5510372724809162,1.5290033116417234,-0.6705845982084851,-0.8061328293806376,-1.5561499082985455,-1.5174950492826311,176,385.0,167.0,954.6666666666666,28.271666666666665,-0.8425378144613436,0.5405802594928841,0,0.9601990049751243
1952,Maha,655.0,586.0,0.845,4.86,1234,26.69,276,1,0.238373321825031,-0.1620133405353984,-0.6612420680712522,-0.6131177799135958,-0.8456217163575993,-0.9293005797541866,276,176.0,385.0,1110.0,27.536666666666665,-0.03861965816339286,0.40541926876132095,1,0.8946564885496183
1952,Yala,424.0,402.0,1.176,8.39,533,28.895000000000003,219,0,-0.9026098258212968,1.9809129342063028,-0.6410304505848202,0.0614793731741831,-1.4943648481297676,-1.4704394917203558,219,276.0,176.0,838.6666666666666,28.005000000000006,-1.7879914785111048,-0.0394101502875189,0,0.9481132075471698
1953,Maha,770.0,743.0,0.865,-0.15,1058,24.775,403,1,-0.0480932031189828,-2.023103506580913,-0.6600208223016792,-1.5705488668738716,-0.522654356384442,-0.4675679211743574,403,219.0,276.0,941.6666666666666,26.786666666666665,0.09729752787272221,1.0365949545790634,1,0.964935064935065
1953,Yala,394.0,366.0,0.659,3.11,624,28.895000000000003,182,0,-0.7544936112195624,1.9809129342063028,-0.6725996537282805,-0.947549796316886,-1.5786172029053738,-1.5763144962354758,182,403.0,219.0,738.3333333333334,27.521666666666665,-1.4945861532408526,0.6373216648930402,0,0.9289340101522843
1954,Maha,825.0,793.0,0.493,3.68,1349,26.56,454,1,0.4255531534645855,-0.2883536651233469,-0.6827359936157358,-0.8386205109741001,-0.3681917059624972,-0.3205193037922462,454,182.0,403.0,1010.3333333333334,26.743333333333336,-0.12270981150631136,0.5725564078264382,1,0.9612121212121212
1954,Yala,483.0,458.0,0.839,4.59,785,28.895000000000003,247,0,-0.4924418469241861,1.9809129342063028,-0.6616084418021241,-0.6647158624443893,-1.3286685504044085,-1.3057450402523914,247,454.0,182.0,919.3333333333334,28.11666666666667,-0.9754844239165604,0.4397816259929874,0,0.94824016563147
